"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Respondent Id"
"496","API dan IAS","KNO","3","TOILET,A3 PRIA","KNO-TP-A03","5","Tetap di pertahankan kualitas layanan dan kualitas kebersihan nya","5","5","5","babfeb48-0bb2-43b4-85a9-0ed2d2a5d58d"
"497","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Puas dengan pelayanan","5","5","5","be24ba4c-4ba8-4c13-81a6-1a2c90619dda"
"498","API dan IAS","KNO","3","TOILET,D6 PRIA","KNO-TP-D06","5","Sangat bagus","5","5","5","784ef112-4402-4e51-9d7b-bc11187cf9a6"
"499","API dan IAS","KNO","3","TOILET,D2 WANITA","KNO-TW-D02","5","Fasilitas nya lengkap, petugasnya ramah dan baik, toilet nya bersih, rapih dan harum","5","5","5","5764733f-779f-43f5-a7bb-9f8036d6c2be"
"500","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5","Puas dengan pelayanan dan fasilitas di toilet","5","5","5","03c00942-d3e8-48ea-a61a-a7fc95b3fa55"
"501","API dan IAS","KNO","3","TOILET,D4 PRIA","KNO-TP-D04","5","Toilet nya bersih fasilitas juga lengkap dan terpercaya","5","5","5","0cf059a6-ec19-4205-b95e-d6ec01cf3c19"
"502","API dan IAS","KNO","3","TOILET,D1 WANITA","KNO-TW-D01","4","Puas dengan pelayanan dan kebersihan fasilitas toilet","5","5","5","4e028ad7-9a76-4018-bde3-42cca09d95f1"
"503","API dan IAS","KNO","3","TOILET,P5 PRIA","KNO-TP-P05","5","Fasilitas toilet baik dan berfungsi
Toilet bersih dan kering","5","5","5","a3f2cd93-bb52-4dc4-84e1-8d714f324415"
"504","API dan IAS","KNO","3","TOILET,D1 PRIA","KNO-TP-D01","5","pelayanan nya sangat baik,petugas nya ramah sekali,fasilitas nya lengkap dan toilet nya juga harum💘","5","5","5","2131f33a-19fb-49b0-bb6c-4374708a4e99"
"505","API dan IAS","KNO","3","TOILET,D1 WANITA","KNO-TW-D01","5","Tisu nya lengkap, sabun pencuci tangan lengkap, petugas nya ramah dan sopan","5","5","5","c524857c-b867-4242-b598-443575be9e3a"
"506","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5",,"5","5","5","937c8425-2fb0-4abf-854f-c4170107c830"
