MEMBER,PARAMETERS,Unit,Target,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,MEI 2026,JUNI 2026
HIN,CSAT - Overall,Scale 1-5,"4,4",0,0,0,0,0,0,0,0,4.63,4.56,4.58,4.55,4.59,4.64,4.64,4.7,4.65,4.68
HIN,CSAT - People,Scale 1-5,"4,4",0,0,0,0,0,0,0,0,4.81,4.71,4.73,4.69,4.79,4.79,4.78,4.79,4.79,4.79
HIN,CSAT - Process,Scale 1-5,"4,4",0,0,0,0,0,0,0,0,4.68,4.62,4.61,4.53,4.59,4.68,4.67,4.7,4.67,4.7
HIN,CSAT - Premises,Scale 1-5,"4,4",0,0,0,0,0,0,0,0,4.54,4.53,4.48,4.44,4.57,4.56,4.56,4.62,4.57,4.62
HIN,Call Center Performance - Volume of Call,Numbers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HIN,Call Center Performance - First Call Resolution,Percentage (%),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HIN,Call Center Performance - Service Level,Percentage (%),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HIN,Social Media Monitoring (The Meru Sanur dan Bali Beach Hotel) -  Volume of Interaction,Numbers,NULL,2100,418,491,1500,1000,1600,393,1300,390,519,838,568,968,676,448,699,1900,2600
HIN,Social Media Monitoring (The Meru Sanur dan Bali Beach Hotel) - Net Sentiment Score,Percentage (%),NULL,20.69%,-20.00%,76.40%,35.29%,17.24%,20.75%,5.88%,38.89%,21.88%,37.21%,38.10%,9.38%,"22,86%","23,33%","44,44%","41,18%","40,63%","26,32%"
HIN,Social Media Monitoring (The Meru Sanur dan Bali Beach Hotel) - Average Response Time,Hours,NULL,0,0,9,33,0,0,0,61,48,42,52,0,37,0,0,0,57,0
HIN,Social Media Monitoring (The Meru Sanur dan Bali Beach Hotel) - Respons to Sentiment Ratio,"0,00 - 1,00",NULL,0,0,0.09,0.33,0.2,0,0,0.14,0.29,0.38,0.25,0,"0,3",0,0,0,"0,08",0
HIN,Complaint Handling - Total Complaint,Numbers,NULL,686,497,535,1085,837,1318,1242,1144,965,1007,726,802,361,288,394,288,274,403
HIN,Complaint Handling - Completed,Numbers,NULL,686,497,535,1085,837,1318,1242,1144,965,1007,726,802,361,288,394,288,274,403
HIN,Complaint Handling - Progress,Numbers,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIN,Complaint Handling - Untouch,Numbers,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIN,Complaint Handling - Complaint Resolution Rate,Percentage (%),NULL,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
HIN,Complaint Handling - Average Time Resolution,Day,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HIN,Rating (Merusaka Nusa Dua) - Kepuasan Menginap,Scale 1-5,4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.63,4.64,4.44
HIN,Rating (Merusaka Nusa Dua) - Arrival,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.43,4.57,4.44
HIN,Rating (Merusaka Nusa Dua) - Keramahan Staff,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.87,4.87,4.72
HIN,Rating (Merusaka Nusa Dua) - Kebersihan Kamar,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.85,4.76,4.68
HIN,Rating (Merusaka Nusa Dua) - Kenyamanan Kamar,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.61,4.54,4.51
HIN,Rating (Merusaka Nusa Dua) - Fasilitas Kamar,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.35,4.33,4.24
HIN,Rating (Merusaka Nusa Dua) - Kualitas Makanan,Scale 1-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.53,4.73,4.74,4.56,4.67,4.83,4.55,4.5,4.13,4.89
